name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jackson Lacombe,Ice Hockey,,Eden Prairie,MN,25,1|0|0,2026
Justin Abdelkader,Ice Hockey,Michigan State University,Muskegon,MI,39,0|0|0,2022
Nick Abruzzese,Ice Hockey,"Harvard University '23 Psychology",Slate Hill,NY,26,0|0|0,2022
Kenny Agostino,Ice Hockey,"Delbarton High School (Morristown N.J.) '10; Yale University '14 Political Science",Morristown,NJ,34,0|0|0,2022
Mark Arcobello,Ice Hockey,"Salisbury School (Salisbury Conn.); Yale University",Milford,CT,37,0|0|0,2018
David Backes,Ice Hockey,"Spring Lake Park High School; Minnesota State-Mankato",Minneapolis,MN,42,0|1|0,2010|2014
Chris Bailey,Ice Hockey,University of Arkansas,Atlanta,GA,54,1|1|0,1998|2002
Cayla Barnes,Ice Hockey,Ohio State University,Eastvale,CA,27,2|1|0,2018|2022|2026
Kacey Bellamy,Ice Hockey,"Berkshire School '05; University of New Hampshire '09",Westfield,MA,39,1|2|0,2010|2014|2018
Matty Beniers,Ice Hockey,"University of Michigan '24",Hingham,MA,23,0|0|0,2022
Hannah Bilka,Ice Hockey,"Boston College B.S.; Ohio State University M.S.",Coppell,TX,25,1|0|0,2026
Chad Billins,Ice Hockey,"Marysville High School (Marysville Mich.); Ferris State University",Marysville,MI,36,0|0|0,2018
Jonathon Blum,Ice Hockey,"Trabuco Hills High School (Mission Viejo Calif.)",Ladera Ranch,CA,37,0|0|0,2018
Matt Boldy,Ice Hockey,Boston College,Millis,MA,25,1|0|0,2026
Will Borgen,Ice Hockey,"Moorhead High School (Moorhead Minn.); St. Cloud State University",Moorhead,MN,29,0|0|0,2018
Chris Bourque,Ice Hockey,"Cushing Academy (Ashburnham Mass.); Boston University",North Reading,MA,40,0|0|0,2018
Megan Bozek,Ice Hockey,"University of Minnesota '13 Sport Management",Buffalo Grove,IL,35,0|2|0,2014|2022
Hannah Brandt,Ice Hockey,University of Minnesota,Vadnais Heights,MN,32,1|1|0,2018|2022
Brendan Brisson,Ice Hockey,"University of Michigan '24 Sports Management",Manhattan Beach,CA,24,0|0|0,2022
Herb Brooks,Ice Hockey,"St. Paul Johnson High School (St. Paul Minn.); University of Minnesota",St. Paul,MN,66,0|0|0,1964|1968
Dustin Brown,Ice Hockey,"Ithaca High School (Ithaca N.Y.)",,41,0|1|0,2010|2014
Bobby Butler,Ice Hockey,"Marlborough High School (Marlborough Mass.); University of New Hampshire",Marlborough,MA,39,0|0|0,2018
Dani Cameranesi,Ice Hockey,University of Minnesota,Plymouth,MN,30,1|1|0,2018|2022
Alex Carpenter,Ice Hockey,Boston College,North Reading,MA,32,1|2|0,2014|2022|2026
Noah Cates,Ice Hockey,"University of Minnesota Duluth '22 Business",Stillwater,MN,27,0|0|0,2022
Alex Cavallini,Ice Hockey,University of Wisconsin,Delafield,WI,34,1|1|0,2018|2022
Julie Chu,Ice Hockey,"Harvard '07 Psychology",Fairfield,CT,44,0|3|1,2002|2006|2010|2014
Drew Commesso,Ice Hockey,"St. Sebastian's School (Needham Mass.); Boston University",Norwell,MA,23,0|0|0,2022
Jesse Compher,Ice Hockey,Boston University,Northbrook,IL,26,0|1|0,2022
Kyle Connor,Ice Hockey,University of Michigan,Shelby Township,MI,29,1|0|0,2026
Brian Cooper,Ice Hockey,"University of Nebraska Omaha '16 Chemistry & Nursing",Anchorage,AK,32,0|0|0,2022
Kendall Coyne Schofield,Ice Hockey,Northeastern University,Palos Heights,IL,33,2|2|0,2014|2018|2022|2026
Jim Craig,Ice Hockey,"Oliver Ames High School '75; Boston University",Easton,MA,68,1|0|0,1980
Britta Curl-Salemme,Ice Hockey,University of Wisconsin,Bismarck,ND,26,1|0|0,2026
Brianna Decker,Ice Hockey,"University of Wisconsin '14",Dousman,WI,34,1|2|0,2014|2018|2022
Ryan Donato,Ice Hockey,"Dexter School (Brookline Mass.); Harvard University",Scituate,MA,30,0|0|0,2018
Meghan Duggan,Ice Hockey,"Cushing Academy (Ashburnham Mass.) '06; University of Wisconsin '11 Biology",Danvers,MA,38,1|2|0,2010|2014|2018
Jincy Dunne,Ice Hockey,Ohio State University,"O'Fallon",MO,28,0|1|0,2022
Joy Dunne,Ice Hockey,Ohio State University,"O'Fallon",MO,20,1|0|0,2026
Laila Edwards,Ice Hockey,University of Wisconsin,Cleveland Heights,OH,22,1|0|0,2026
Jack Eichel,Ice Hockey,Boston University,North Chelmsford,MA,29,1|0|0,2026
Brock Faber,Ice Hockey,University of Minnesota,Maple Grove,MN,23,1|0|0,2022|2026
Sean Farrell,Ice Hockey,"St. Marks High School (Southborough Mass.) '20; Harvard University '25",Hopkinton,MA,24,0|0|0,2022
Kali Flanagan,Ice Hockey,"National Sports Academy (Lake Placid N.Y.); Boston College",Burlington,MA,30,1|0|0,2018
Aerin Frankel,Ice Hockey,Northeastern University,Chappaqua,NY,26,1|0|0,2026
Matt Gilroy,Ice Hockey,"St. Mary's High School (Manhasset N.Y.); Boston University",North Bellmore,NY,41,0|0|0,2018
Brian Gionta,Ice Hockey,"Aquinas Institute (Rochester N.Y.); Boston College",Rochester,NY,47,0|0|0,2006|2018
Jordan Greenway,Ice Hockey,"Shattuck-Saint Mary's '13; Boston University General Studies",Canton,NY,29,0|0|0,2018
Jake Guentzel,Ice Hockey,University of Nebraska-Omaha,Woodbury,MN,31,1|0|0,2026
Rory Guilday,Ice Hockey,Cornell University,Chanhassen,MN,23,1|0|0,2026
Ryan Gunderson,Ice Hockey,"Holy Ghost Preparatory School (Bensalem Penn.); University of Vermont",Bensalem,PA,40,0|0|0,2018
Noah Hanifin,Ice Hockey,Boston College,Norwood,MA,29,1|0|0,2026
Savannah Harmon,Ice Hockey,Clarkson University,Downers Grove,IL,30,0|1|0,2022
Caroline Harvey,Ice Hockey,University of Wisconsin,Salem,NH,23,1|1|0,2022|2026
Taylor Heise,Ice Hockey,University of Minnesota,Lake City,MN,26,1|0|0,2026
Connor Hellebuyck,Ice Hockey,University of Massachusetts-Lowell,Commerce,MI,32,1|0|0,2026
Drew Helleson,Ice Hockey,"Boston College '23 Management",Farmington,MN,25,0|0|0,2022
Nicole Hensley,Ice Hockey,Lindenwood University,Lakewood,CO,31,1|1|0,2018|2022
Sam Hentges,Ice Hockey,"Totino-Grace High School (Fridley Minn.) '17; St. Cloud State University '22",New Brighton,MN,26,0|0|0,2022
Quinn Hughes,Ice Hockey,University of Michigan,Canton,MI,26,1|0|0,2026
Tessa Janecke,Ice Hockey,Penn State,Warren,IL,21,1|0|0,2026
Steven Kampfer,Ice Hockey,"Jackson High School (Jackson Mich.) '06; University of Michigan Political Science",Jackson,MI,37,0|0|0,2022
Patrick Kane,Ice Hockey,,Buffalo,NY,37,0|1|0,2010|2014
Megan Keller,Ice Hockey,Boston College,Farmington Hills,MI,30,2|1|0,2018|2022|2026
Clayton Keller,Ice Hockey,Boston University,St. Louis,MO,27,1|0|0,2026
Phil Kessel,Ice Hockey,"University of Minnesota Twin Cities",Madison,WI,38,0|1|0,2010|2014
Amanda Kessel,Ice Hockey,University of Minnesota,Madison,WI,34,1|2|0,2014|2018|2022
Matthew Knies,Ice Hockey,"University of Minnesota '25",Phoenix,AZ,23,0|0|0,2022
Hilary Knight,Ice Hockey,University of Wisconsin,Sun Valley,ID,36,2|3|0,2010|2014|2018|2022|2026